id,title,link,author,points,comments,posted_time
46629610,Have Taken Up Farming (dylan.gr),vote?id=46629610&how=up&goto=news%3Fp%3D3,djnaraps,174 points,115 comments,9 hours ago
46585372,A Brief Introduction to the Basics of Game Theory (ssrn.com),vote?id=46585372&how=up&goto=news%3Fp%3D3,7777777phil,93 points,15 comments,1 day ago
46619030,"So, you’ve hit an age gate. What now? (eff.org)",vote?id=46619030&how=up&goto=news%3Fp%3D3,hn_acker,352 points,263 comments,23 hours ago
46579451,Desperately Seeking Squircles (2018) (figma.com),vote?id=46579451&how=up&goto=news%3Fp%3D3,kjeetgill,17 points,8 comments,10 hours ago
46599403,Show HN: HyTags – HTML as a Programming Language (hytags.org),vote?id=46599403&how=up&goto=news%3Fp%3D3,lassejansen,65 points,32 comments,1 day ago
46568472,You Can Just Buy Far-UVC (jefftk.com),vote?id=46568472&how=up&goto=news%3Fp%3D3,surprisetalk,79 points,121 comments,23 hours ago
46632921,The Death of the Cool (chrismarino.substack.com),vote?id=46632921&how=up&goto=news%3Fp%3D3,jger15,5 points,1 comment,2 hours ago
46614688,Show HN: Tiny FOSS Compass and Navigation App (<2MB) (github.com/compassmb),vote?id=46614688&how=up&goto=news%3Fp%3D3,nativeforks,129 points,45 comments,1 day ago
46617744,How much of my observability data is waste? (usetero.com),vote?id=46617744&how=up&goto=news%3Fp%3D3,binarylogic,113 points,54 comments,1 day ago
46620990,Ask HN: How do you safely give LLMs SSH/DB access?,vote?id=46620990&how=up&goto=news%3Fp%3D3,nico,77 points,102 comments,22 hours ago
46551065,Show HN: Ever wanted to look at yourself in Braille? (github.com/nishantjoshi00),vote?id=46551065&how=up&goto=news%3Fp%3D3,cat-whisperer,26 points,13 comments,13 hours ago
46617705,Show HN: A 10KiB kernel for cloud apps (github.com/returninfinity),vote?id=46617705&how=up&goto=news%3Fp%3D3,ianseyler,66 points,11 comments,1 day ago
46625049,Apple: You (Still) Don't Understand the Vision Pro (stratechery.com),vote?id=46625049&how=up&goto=news%3Fp%3D3,m463,51 points,15 comments,18 hours ago
46618087,The unbearable frustration of figuring out APIs (ar-ms.me),vote?id=46618087&how=up&goto=news%3Fp%3D3,ezekg,74 points,58 comments,1 day ago
46613624,The hunt for a stolen Jackson Pollock (washingtonpost.com),vote?id=46613624&how=up&goto=news%3Fp%3D3,prismatic,25 points,4 comments,19 hours ago
46612711,The <Geolocation> HTML Element (chrome.com),vote?id=46612711&how=up&goto=news%3Fp%3D3,enz,82 points,54 comments,10 hours ago
46557853,"India's Electric Two-Wheeler Market: Rise, Reset and What Comes Next (micromobility.io)",vote?id=46557853&how=up&goto=news%3Fp%3D3,prabinjoel,67 points,67 comments,1 day ago
46632466,Millions of Audio Devices Need a Patch to Prevent Wireless Hacking and Tracking (wired.com),vote?id=46632466&how=up&goto=news%3Fp%3D3,erhuve,5 points,1 comment,3 hours ago
